【  Yukikaki  by @WORDS_SCRAPER is licensed under a Creative Commons Attribution 4.0 International License.】【ctrl+↓で下に行けるぞ！】 【Feel free to use!】 NYタイムズ国際版（＝NYT）とかネット記事とかアニメを見て自分がわからなかった単語を書いている 数学のテキスト＝Fundamental Methods of Mathematical Economics、口、俗、話の区別はあまり厳密ではない,,,
vigilance,用心、警戒,TOEFL,
pretext,口実、理由,TOEFL,NYタイムズ、この展覧会の経緯（＝pretext）は実務的なもので（元々のスペースの改修）〜
caucus,党員集会,TOEFL,
ingratiate,気に入られるようにする,TOEFL,
opening,（地位・職）欠員、空き,TOEIC,
janitor,用務員,TOEIC,
sabbatical,研究休暇,TOEIC,
RSVP,折返し返事されたし,TOEIC,
Just in case.,念のため,スパイダーマンのトレイラー,
raffle,宝くじ,TOEIC,
roster,名簿,TOEIC,
upshot,結果、結論,TOEFL,
contrition,悔恨,TOEFL,
trolling,（ネットの）荒らし,ネット記事,
extend an invitation,招待状を差し出す,TOEIC,
stint,出し惜しみする,TOEFL,
gullible,だまされやすい,TOEFL,
ductile,延性のある、従順な,TOEFL,
hiatus,隙間、中断,TOEFL,
juxtapose,並べる（対比するように）,TOEFL,
disembowel,の内臓を抜き出す,TOEFL,
portend,～の前兆となる,TOEFL,
virtuoso,巨匠、大家,TOEFL,
contention,論争、主張,TOEFL,
interim,臨時の,TOEIC,
edifice,大建築物,TOEFL,
stratum,層,TOEFL,
stratify,層にする、階層化する,TOEFL,
incandescent,白熱の、白熱光を発する,TOEFL,
sedation,鎮静作用,ネット記事,飲酒で眠くなるのは睡眠じゃなくて鎮静作用～
complimentary,賞賛する、無料の,TOEIC,
impel,推進する,TOEFL,
saturated,しみこんだ、ずぶ濡れの,TOEFL,
pie in the sky,絵空事,TOEFL,
trepidation,戦慄、恐怖,TOEFL,
Effective the next month~,来月から～が施行される,TOEIC,
pantry,食料貯蔵庫,TOEIC,
vendor,販売会社,TOEIC,
truce,休戦、中断,NYT,
minute,議事録,TOEIC,
burglar,強盗,授業,
decimal,十進法の,TOEFL,
countenance,1.顔つき 、　2.～を支持する、賛同する（動詞）,NYT,
profile,横顔,,
report,（直属の）部下,TOEIC,
conundrum,なぞ、難問,twitter,「おおかみこども」でも元気すぎる彼女の子育ては難問でした～って感じで使われていた
shingle,屋根板,,
dereliction,放棄,,
faucet,蛇口,TOEIC,
brochure,パンフレット,TOEIC,
myopic,近視の,,
produce,農産物,TOEIC,
eponymous,その名前のもとになった,ネット記事,
radiant,光を放つ、晴れやかな,TOEFL,
promptly,（時間に）きっかり,TOEIC,
trailblazing,先駆的な,TOEFL,
sanguine,快活な,TOEFL,
preposterous,バカげた、不合理な,TOEFL,
ignominious,不名誉な,TOEFL,
furtive,こっそりと,TOEFL,
mordant,辛辣な、皮肉な,TOEFL,
emissary,使者、密使,TOEFL,
recess,（海岸線など）地形の引っ込んだところ,TOEFL,
nomenclature,命名法,TOEFL,
wanton,理不尽な,TOEFL,
flippant,軽薄な,TOEFL,
globule,小滴,TOEFL,
biannual,半年の,TOEFL,
delectable,楽しい、美味な,TOEFL,
